                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                  1.753,                  1.129,                 1.1802,                0.80038,                0.75627,                0.85694,                0.48237,                 1.6544,                 1.2047,                 1.2163,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.6293,                 1.1514,                  1.279,                0.80038,                0.75627,                0.85694,                0.48237,                 1.6544,                 1.2047,                 1.2163,               0.000515,               0.000515,               0.000515
                     77,                 1.6964,                 1.3536,                 1.2974,                0.83822,                0.75599,                0.86443,                0.49725,                 1.6456,                 1.2145,                 1.2116,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.7998,                 1.1853,                 1.2147,                0.81969,                0.76036,                0.85776,                 0.4919,                 1.6463,                 1.2128,                  1.205,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.8763,                 1.2476,                 1.1582,                0.84709,                0.76888,                0.88004,                0.51292,                 1.6091,                 1.1911,                 1.1885,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.6459,                 1.1507,                 1.1753,                0.84709,                0.76888,                0.88004,                0.51292,                 1.6091,                 1.1911,                 1.1885,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.9325,                 1.4338,                 1.2109,                0.85667,                0.78701,                0.89124,                0.51883,                 1.5964,                 1.1713,                  1.177,               0.000416,               0.000416,               0.000416
                     82,                 1.8174,                 1.3422,                  1.336,                0.90131,                0.78648,                0.90288,                0.51655,                 1.6087,                 1.1634,                 1.1809,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.6923,                 1.1894,                 1.2118,                0.89877,                0.78989,                 0.9031,                0.50709,                 1.6144,                 1.1907,                 1.1885,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.7855,                 1.2221,                 1.3469,                0.89877,                0.78989,                 0.9031,                0.50709,                 1.6144,                 1.1907,                 1.1885,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.8805,                 1.2623,                   1.24,                0.87151,                0.79655,                0.89593,                 0.4881,                 1.6394,                 1.2195,                 1.1961,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.6847,                 1.1088,                 1.2174,                0.87481,                0.82067,                 0.8919,                 0.4831,                 1.6568,                  1.234,                 1.1986,               0.000317,               0.000317,               0.000317
                     87,                 1.7843,                 1.1576,                 1.1982,                0.87289,                 0.8065,                0.88165,                0.47759,                 1.6732,                 1.2452,                  1.202,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.6403,                 1.1925,                 1.2161,                0.87289,                 0.8065,                0.88165,                0.47759,                 1.6732,                 1.2452,                  1.202,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.6855,                 1.1547,                 1.1368,                0.87164,                0.80427,                 0.8757,                0.46657,                 1.6938,                 1.2704,                 1.2082,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.6391,                 1.1018,                 1.1981,                0.86705,                0.81139,                0.88355,                 0.4866,                 1.6633,                 1.2492,                 1.1951,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.9916,                 1.2096,                 1.1726,                0.87104,                0.81726,                0.88671,                0.50029,                 1.6318,                 1.2142,                 1.1796,               0.000218,               0.000218,               0.000218
                     92,                  1.781,                 1.2301,                  1.164,                0.87104,                0.81726,                0.88671,                0.50029,                 1.6318,                 1.2142,                 1.1796,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.7675,                 1.2027,                 1.2736,                0.87422,                0.82562,                0.89227,                0.52004,                 1.6038,                 1.1803,                 1.1649,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.6092,                 1.2846,                 1.2274,                0.88194,                0.83986,                0.89891,                0.52761,                 1.5736,                 1.1492,                 1.1524,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.7962,                 1.1967,                 1.2095,                0.88553,                0.85053,                0.90104,                0.53603,                 1.5464,                 1.1219,                 1.1408,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.6543,                  1.144,                 1.2406,                0.88553,                0.85053,                0.90104,                0.53603,                 1.5464,                 1.1219,                 1.1408,               0.000119,               0.000119,               0.000119
                     97,                 1.5875,                  1.112,                 1.1965,                0.87995,                0.85409,                0.90535,                0.53934,                 1.5207,                 1.1055,                 1.1327,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.6181,                  1.094,                 1.1241,                0.88571,                0.85494,                 0.9131,                0.54428,                 1.5007,                 1.0891,                 1.1244,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.6457,                 1.0903,                 1.1541,                0.88331,                0.85409,                0.91447,                0.54668,                 1.4885,                 1.0774,                 1.1197,               5.96e-05,               5.96e-05,               5.96e-05
